Id,Frame,Time,Probability,FaceX0,FaceY0,FaceWidth,FaceHeight,Admiration,Adoration,Aesthetic Appreciation,Amusement,Anger,Anxiety,Awe,Awkwardness,Boredom,Calmness,Concentration,Contemplation,Confusion,Contempt,Contentment,Craving,Determination,Disappointment,Disgust,Distress,Doubt,Ecstasy,Embarrassment,Empathic Pain,Entrancement,Envy,Excitement,Fear,Guilt,Horror,Interest,Joy,Love,Nostalgia,Pain,Pride,Realization,Relief,Romance,Sadness,Satisfaction,Desire,Shame,Surprise (negative),Surprise (positive),Sympathy,Tiredness,Triumph,AU1 Inner Brow Raise,AU2 Outer Brow Raise,AU4 Brow Lowerer,AU5 Upper Lid Raise,AU6 Cheek Raise,AU7 Lids Tight,AU9 Nose Wrinkle,AU10 Upper Lip Raiser,AU11 Nasolabial Furrow Deepener,AU12 Lip Corner Puller,AU14 Dimpler,AU15 Lip Corner Depressor,AU16 Lower Lip Depress,AU17 Chin Raiser,AU18 Lip Pucker,AU19 Tongue Show,AU20 Lip Stretch,AU22 Lip Funneler,AU23 Lip Tightener,AU24 Lip Presser,AU25 Lips Part,AU26 Jaw Drop,AU27 Mouth Stretch,AU28 Lips Suck,AU32 Bite,AU34 Puff,AU37 Lip Wipe,AU38 Nostril Dilate,AU43 Eye Closure,AU53 Head Up,AU54 Head Down,Hand over Mouth,Hand over Eyes,Hand over Forehead,Hand over Face,Hand touching Face / Head,Beaming,Biting lip,Cheering,Cringe,Cry,Eyes closed,Face in hands,Frown,Gasp,Glare,Glaring,Grimace,Grin,Jaw drop,Laugh,Licking lip,Pout,Scowl,Smile,Smirk,Snarl,Squint,Sulking,Tongue out,Wide-eyed,Wince,Wrinkled nose
face_0,0,0.0,0.9995471835136414,561.9450073242188,312.41986083984375,259.1312255859375,358.47894287109375,0.10555348545312881,0.07150498777627945,0.07617979496717453,0.15115313231945038,0.06441660970449448,0.13495641946792603,0.11215934157371521,0.2525712549686432,0.6353530287742615,0.6545432806015015,0.5466033816337585,0.2031300812959671,0.35856762528419495,0.175497904419899,0.16097703576087952,0.05234374850988388,0.1256829798221588,0.2718093693256378,0.07685992121696472,0.13721223175525665,0.31551676988601685,0.028045818209648132,0.09461633861064911,0.06558021903038025,0.14459329843521118,0.05196738988161087,0.0674649029970169,0.09249717742204666,0.06804081052541733,0.0470702238380909,0.3710291385650635,0.09399765729904175,0.08381101489067078,0.06357255578041077,0.0583265982568264,0.0659659132361412,0.1548900306224823,0.06506557017564774,0.03955316171050072,0.1590261310338974,0.11914118379354477,0.04699390009045601,0.06208307668566704,0.07717002928256989,0.07310773432254791,0.07718250155448914,0.2519732415676117,0.02579278126358986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
face_0,10,0.33366666666666667,0.9997795224189758,561.7724609375,298.4652404785156,244.463623046875,362.4587707519531,0.11390899121761322,0.0821317657828331,0.0821823924779892,0.1824125349521637,0.06300219893455505,0.12290272861719131,0.08442876487970352,0.2746424078941345,0.5818406343460083,0.6694430112838745,0.5256405472755432,0.20241710543632507,0.30666956305503845,0.18766000866889954,0.1871313750743866,0.06661097705364227,0.14100441336631775,0.27199459075927734,0.07226897776126862,0.12244416028261185,0.2935068905353546,0.030997367575764656,0.09722422063350677,0.05948347970843315,0.13596130907535553,0.052743736654520035,0.07504640519618988,0.06818259507417679,0.06634236127138138,0.031620386987924576,0.3879162073135376,0.11397387832403183,0.10277025401592255,0.06568927317857742,0.05355150252580643,0.08281061053276062,0.1428028643131256,0.06996064633131027,0.05026175081729889,0.1400936394929886,0.15454061329364777,0.06721485406160355,0.06328362226486206,0.05078382045030594,0.047816015779972076,0.07662457972764969,0.22762316465377808,0.03177059814333916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
face_0,20,0.6673333333333333,0.9998552799224854,554.337158203125,316.119873046875,244.30224609375,331.3594970703125,0.10132680833339691,0.07135451585054398,0.07610192894935608,0.14206820726394653,0.07189197093248367,0.13092181086540222,0.08607656508684158,0.24659323692321777,0.6487330794334412,0.663367748260498,0.5307043790817261,0.2135378122329712,0.337404727935791,0.20261751115322113,0.16745774447917938,0.05458730459213257,0.13346892595291138,0.3038707375526428,0.08646974712610245,0.1419832408428192,0.31416863203048706,0.02730446308851242,0.09280576556921005,0.07088851928710938,0.1353806108236313,0.053946953266859055,0.0585736408829689,0.07621319591999054,0.0710863322019577,0.0345662459731102,0.3449816107749939,0.09118527919054031,0.0858890637755394,0.06869605928659439,0.06979557126760483,0.07539238780736923,0.14570000767707825,0.06929025053977966,0.041291818022727966,0.18976275622844696,0.1271587461233139,0.050477609038352966,0.06758805364370346,0.054043304175138474,0.04679866135120392,0.07788397371768951,0.2726221978664398,0.027926865965127945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
face_0,30,1.0010000000000001,0.9999730587005615,544.6304931640625,318.9449157714844,241.982421875,321.1556701660156,0.06927350163459778,0.08385471999645233,0.06308252364397049,0.14853990077972412,0.035654064267873764,0.11083028465509415,0.046439167112112045,0.14679646492004395,0.31321024894714355,0.7242228984832764,0.24694298207759857,0.11888931691646576,0.14701898396015167,0.1156921312212944,0.30226418375968933,0.04240816831588745,0.060349781066179276,0.22573953866958618,0.06699951738119125,0.17914102971553802,0.11678092926740646,0.1073976457118988,0.08874723315238953,0.08262027055025101,0.1262325942516327,0.022894637659192085,0.07659772038459778,0.05964778736233711,0.07003732770681381,0.023695440962910652,0.15050458908081055,0.18291521072387695,0.1850621998310089,0.09196899086236954,0.19043737649917603,0.07401996105909348,0.12433348596096039,0.3275391757488251,0.07528064399957657,0.1924770027399063,0.41015297174453735,0.12695060670375824,0.07683276385068893,0.023443553596735,0.017019225284457207,0.052271779626607895,0.5211727023124695,0.04413348436355591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
face_0,40,1.3346666666666667,0.9999819993972778,539.875244140625,308.32818603515625,244.4415283203125,330.883056640625,0.09589000046253204,0.0627170130610466,0.07507263869047165,0.12737862765789032,0.06540683656930923,0.13766776025295258,0.11010610312223434,0.23792201280593872,0.6503413319587708,0.6651337146759033,0.5894722938537598,0.2123451828956604,0.39441120624542236,0.1737910807132721,0.14383921027183533,0.0577019602060318,0.1335156410932541,0.2609456777572632,0.07543940097093582,0.14033499360084534,0.3213951289653778,0.0272778682410717,0.08399361371994019,0.06458576023578644,0.1548956334590912,0.049672454595565796,0.06009187549352646,0.09017713367938995,0.06545756012201309,0.04467420279979706,0.36882805824279785,0.07649297267198563,0.07280771434307098,0.06012563034892082,0.05945267900824547,0.05863495543599129,0.155799999833107,0.06683152168989182,0.03918154165148735,0.1558675318956375,0.10892315208911896,0.05800291523337364,0.05673689767718315,0.07726529240608215,0.07032235711812973,0.07136684656143188,0.28216269612312317,0.02359616756439209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
face_0,50,1.6683333333333334,0.9996651411056519,549.3455810546875,295.8717956542969,250.03411865234375,362.9308776855469,0.08649338781833649,0.05864037200808525,0.06992651522159576,0.11164502799510956,0.07769301533699036,0.1400112509727478,0.08550849556922913,0.23413388431072235,0.642458975315094,0.6561347842216492,0.5811190009117126,0.21834498643875122,0.4441942572593689,0.21232223510742188,0.14216099679470062,0.048182301223278046,0.1276678442955017,0.2943245768547058,0.10933613032102585,0.15832725167274475,0.35472404956817627,0.02371101640164852,0.08538724482059479,0.07527255266904831,0.1401313990354538,0.053185317665338516,0.04831372946500778,0.08398406952619553,0.06977340579032898,0.03942600637674332,0.33528685569763184,0.07361855357885361,0.06988979876041412,0.06267710030078888,0.07775210589170456,0.05930387228727341,0.14216256141662598,0.06297904253005981,0.03564365953207016,0.19601131975650787,0.10347038507461548,0.048123084008693695,0.06373761594295502,0.06432092189788818,0.04895878955721855,0.0755288302898407,0.2886437177658081,0.021627292037010193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
face_0,60,2.0020000000000002,0.9999712705612183,537.8934936523438,322.62078857421875,247.649169921875,323.82855224609375,0.06844265758991241,0.07067722082138062,0.060664400458335876,0.11782253533601761,0.05319615453481674,0.12932902574539185,0.05170966312289238,0.1750776767730713,0.4245748221874237,0.6351353526115417,0.31909826397895813,0.15596766769886017,0.24680234491825104,0.166640043258667,0.21088191866874695,0.043057870119810104,0.0753437876701355,0.2993989884853363,0.10642767697572708,0.2052432894706726,0.19663390517234802,0.0549326129257679,0.09698385000228882,0.09751959890127182,0.11763276159763336,0.03190607577562332,0.05415014550089836,0.06946006417274475,0.08155472576618195,0.02848404459655285,0.17926035821437836,0.11424326151609421,0.12463058531284332,0.08296012878417969,0.18963493406772614,0.06544175744056702,0.12809959053993225,0.1752481460571289,0.056632786989212036,0.25522342324256897,0.23312050104141235,0.08801306039094925,0.08860452473163605,0.03195580467581749,0.020062390714883804,0.06204686313867569,0.4715180993080139,0.032080285251140594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
face_0,70,2.3356666666666666,0.9999626874923706,543.9005126953125,311.94622802734375,240.79461669921875,328.66302490234375,0.06613890826702118,0.06808525323867798,0.05857345089316368,0.12346433103084564,0.056501805782318115,0.13615743815898895,0.057967156171798706,0.18611890077590942,0.3689206838607788,0.5295088291168213,0.2855992913246155,0.14750243723392487,0.3048742115497589,0.17894402146339417,0.18891099095344543,0.04619121924042702,0.06989939510822296,0.2928617000579834,0.13957935571670532,0.23049978911876678,0.2188534438610077,0.06309007108211517,0.0976220890879631,0.10754256695508957,0.1144767701625824,0.03179914876818657,0.06108381971716881,0.08212517201900482,0.07824350893497467,0.036973532289266586,0.17327113449573517,0.11475461721420288,0.11875370144844055,0.0782611072063446,0.2343299239873886,0.06188872456550598,0.1326109617948532,0.18142196536064148,0.05572769045829773,0.2517675459384918,0.23389364778995514,0.1080905944108963,0.08337350189685822,0.039872508496046066,0.02330104634165764,0.05877482891082764,0.43970343470573425,0.03444482386112213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
face_0,80,2.6693333333333333,0.9999967813491821,549.6929931640625,305.7701416015625,241.4251708984375,334.97735595703125,0.15235601365566254,0.10490317642688751,0.08991008996963501,0.15469756722450256,0.07271864265203476,0.1443484127521515,0.15194445848464966,0.21193963289260864,0.3502158522605896,0.4436219036579132,0.45622795820236206,0.2591053247451782,0.4149952232837677,0.19524583220481873,0.14200598001480103,0.06883776932954788,0.13661564886569977,0.26552504301071167,0.0852707177400589,0.16396111249923706,0.3579768240451813,0.03535780683159828,0.09091199934482574,0.07567773014307022,0.15663130581378937,0.059488892555236816,0.07898129522800446,0.12511691451072693,0.07152902334928513,0.05587092414498329,0.36326470971107483,0.09875813126564026,0.10531329363584518,0.08241865038871765,0.08634649217128754,0.08419053256511688,0.19952735304832458,0.07869215309619904,0.051338113844394684,0.18482699990272522,0.13031083345413208,0.05990114063024521,0.06051432713866234,0.07337113469839096,0.0674654096364975,0.07032091915607452,0.1813732385635376,0.039174407720565796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
face_0,90,3.003,0.9999836683273315,516.5545043945312,286.383544921875,252.8046875,352.2054443359375,0.1713188737630844,0.13829022645950317,0.09839899092912674,0.23641228675842285,0.07438737899065018,0.11739608645439148,0.11116214841604233,0.23199903964996338,0.34416118264198303,0.47509703040122986,0.3888980746269226,0.2238897979259491,0.35435912013053894,0.22685453295707703,0.20484350621700287,0.07176002115011215,0.13307152688503265,0.2573929727077484,0.094877690076828,0.14082498848438263,0.3215736448764801,0.04691796377301216,0.08960086107254028,0.0688701868057251,0.13611340522766113,0.05989030376076698,0.10767540335655212,0.08266177773475647,0.059464868158102036,0.03781456500291824,0.3852221369743347,0.17570939660072327,0.1627402901649475,0.08602355420589447,0.08382739871740341,0.12082602828741074,0.16960203647613525,0.09880800545215607,0.06648729741573334,0.15438611805438995,0.21308037638664246,0.07819125801324844,0.057564884424209595,0.048560816794633865,0.04623646289110184,0.07285690307617188,0.17327861487865448,0.05767194554209709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
