Id,BeginTime,EndTime,Admiration,Adoration,Aesthetic Appreciation,Amusement,Anger,Anxiety,Awe,Awkwardness,Boredom,Calmness,Concentration,Contemplation,Confusion,Contempt,Contentment,Craving,Determination,Disappointment,Disgust,Distress,Doubt,Ecstasy,Embarrassment,Empathic Pain,Entrancement,Envy,Excitement,Fear,Guilt,Horror,Interest,Joy,Love,Nostalgia,Pain,Pride,Realization,Relief,Romance,Sadness,Satisfaction,Desire,Shame,Surprise (negative),Surprise (positive),Sympathy,Tiredness,Triumph,Cackle,Cheer,Chuckle,Cry,Gasp,Giggle,Groan,Growl,Grunt,Hiss,Hoot,Howl,Laugh,Moan,Pant,Roar,Scream,Screech,Shout,Shriek,Sigh,Snicker,Snort,Sob,Squeal,Wail,Wheep,Whimper,Yawn,Yelp,Ah,Aha,Ahh,Argh,Aww,Eek,Eww,Grr,Ha,Hah,Haha,Hehe,Hmm,Huh,Hurray,Mhm,Mmm,Oh,Ohh,Ooh,Ooph,Ouch,Oww,Pff,Phew,Tsk,Ugh,Uh,Uh-huh,Umm,Whee,Whew,Woah,Wow,Yay,Yippee,Yuck
unknown,38.0,39.0,0.02367904596030712,0.0072706094942986965,0.011767485179007053,0.06711525470018387,0.03656000271439552,0.06984293460845947,0.12119077146053314,0.2115909904241562,0.1551264226436615,0.13206681609153748,0.0631425678730011,0.08446422219276428,0.19664230942726135,0.17296384274959564,0.038946107029914856,0.015710437670350075,0.10244866460561752,0.19124650955200195,0.07563670724630356,0.10525287687778473,0.24123357236385345,0.02358175255358219,0.09078869223594666,0.04394323006272316,0.024326523765921593,0.041310448199510574,0.03788985311985016,0.12776319682598114,0.09121771901845932,0.08395042270421982,0.07627071440219879,0.034746408462524414,0.0110038286074996,0.018559085205197334,0.11558942496776581,0.05065329000353813,0.2218025177717209,0.09617730230093002,0.011814647354185581,0.01822388730943203,0.0571201927959919,0.04458525776863098,0.05103377252817154,0.1254282295703888,0.174820676445961,0.0229384433478117,0.09188071638345718,0.04689249396324158,0.0134837431833148,0.0005430763703770936,0.05721449851989746,0.007067664992064238,0.1665172576904297,0.009044425562024117,0.01248078141361475,0.010729887522757053,0.1714337170124054,0.009118180721998215,0.07977423071861267,0.0021041196305304766,0.019636331126093864,0.005472180433571339,0.02943524345755577,0.0002469916653353721,0.0012196293100714684,0.0017966700252145529,0.006259828805923462,0.005132934078574181,0.020057961344718933,0.03523140773177147,0.08207462728023529,0.008820775896310806,0.00843474455177784,0.0016179861268028617,0.015486909076571465,0.01338742021471262,0.0021255488973110914,0.07659348845481873,0.07195834815502167,0.001362744951620698,0.003285297192633152,0.0031498626340180635,0.0037361877039074898,0.009676533751189709,0.005409682169556618,0.0012120434548705816,0.048389069736003876,0.037126488983631134,0.005161157343536615,0.01966499537229538,0.01637600176036358,0.1125105544924736,0.0008851033635437489,0.009647666476666927,0.002478604903444648,0.3919646143913269,0.08205985277891159,0.05584900826215744,0.12365363538265228,0.00468987924978137,0.003264322178438306,0.01286131702363491,0.010110730305314064,0.025350669398903847,0.12680524587631226,0.15157242119312286,0.004580536391586065,0.00730830617249012,0.0008095288649201393,0.016519242897629738,0.05727199465036392,0.020745109766721725,0.0005096456152386963,0.00135514116846025,0.022546352818608284
unknown,117.0,118.0,0.047620270401239395,0.05121904984116554,0.047452934086322784,0.018523091450333595,0.008221473544836044,0.03950218856334686,0.029470155015587807,0.043612487614154816,0.39918628334999084,0.35653549432754517,0.16666360199451447,0.323142945766449,0.0996166244149208,0.03981973975896835,0.1737426072359085,0.12895570695400238,0.048183053731918335,0.15113988518714905,0.007631514221429825,0.09831561893224716,0.18730200827121735,0.15522712469100952,0.01256572175770998,0.03666391968727112,0.07676245272159576,0.02014988288283348,0.014091048389673233,0.00579093536362052,0.01695971190929413,0.0032488808501511812,0.10091927647590637,0.01869095303118229,0.062294282019138336,0.038472749292850494,0.018399735912680626,0.005870589055120945,0.12533891201019287,0.1779203563928604,0.140336275100708,0.042435429990291595,0.36473116278648376,0.22871078550815582,0.015864143148064613,0.001412561978213489,0.004540033172816038,0.05491790920495987,0.3904341757297516,0.0049522919580340385,0.0006652576848864555,0.0006199509953148663,0.004046102985739708,0.0033067797776311636,0.006581430323421955,0.002500469097867608,0.10303013771772385,0.008133644238114357,0.00994475744664669,0.002068126108497381,0.0023360582999885082,0.0006000867579132318,0.0031094043515622616,0.35937872529029846,0.00990524422377348,0.002848804695531726,0.00024682466755621135,0.0005677855806425214,0.0003152869758196175,0.00030497697298415005,0.21622304618358612,0.001963323215022683,0.002535946201533079,0.0030606212094426155,0.0005606163176707923,0.0046993521973490715,0.0050705489702522755,0.05252549424767494,0.11666212975978851,0.0002772197767626494,0.007802661973983049,0.0014217295683920383,0.030651338398456573,0.0018579039024189115,0.01817893609404564,0.00023260718444362283,0.001864090794697404,0.0161302387714386,0.0023503501433879137,0.006239192094653845,0.001881187898106873,0.0014681806787848473,0.3463589549064636,0.022019945085048676,0.0011720876209437847,0.17320844531059265,0.4098370671272278,0.0033001662231981754,0.018658729270100594,0.008154130540788174,0.003300280077382922,0.00039288835250772536,0.001520276884548366,0.0016320095164701343,0.0043144384399056435,0.0024842722341418266,0.008050482720136642,0.00806432869285345,0.017165524885058403,0.08381926268339157,0.0038777636364102364,0.0041304393671453,0.0025156864430755377,0.0023931150790303946,0.001337082707323134,0.0018612564308568835,0.0004761624149978161
unknown,119.0,120.0,0.024819266051054,0.016388237476348877,0.01704683154821396,0.17660580575466156,0.04830572381615639,0.11995681375265121,0.03632844239473343,0.12549902498722076,0.11126250773668289,0.12261973321437836,0.06165972352027893,0.06593971699476242,0.1089404970407486,0.23483806848526,0.06396316736936569,0.03136364370584488,0.07421445101499557,0.13091866672039032,0.0777580514550209,0.18092460930347443,0.16994935274124146,0.08241348713636398,0.07964055240154266,0.05060361325740814,0.03841448947787285,0.034997958689928055,0.07542376965284348,0.18101157248020172,0.06361673027276993,0.09804562479257584,0.09102580696344376,0.13108022511005402,0.04087819904088974,0.029614830389618874,0.08202041685581207,0.05417349934577942,0.0703759491443634,0.09291163831949234,0.04134311527013779,0.07558516412973404,0.10996276885271072,0.09940948337316513,0.040113601833581924,0.04864921048283577,0.04146115854382515,0.03158850595355034,0.14996245503425598,0.052772458642721176,0.03260552138090134,0.0024227409157902002,0.1579674482345581,0.04255989193916321,0.13210852444171906,0.054659295827150345,0.028826206922531128,0.019024590030312538,0.09044050425291061,0.07135743647813797,0.012887513265013695,0.0016317033441737294,0.08767490088939667,0.029786555096507072,0.08846384286880493,0.0020359065383672714,0.0022911480627954006,0.007331332191824913,0.0033202089834958315,0.013658255338668823,0.06871385872364044,0.1319136619567871,0.1347518414258957,0.0571846142411232,0.016696259379386902,0.00511257816106081,0.0743175595998764,0.12412743270397186,0.006212339270859957,0.012888497672975063,0.025728659704327583,0.00740786362439394,0.008308552205562592,0.0035448051057755947,0.0021170666441321373,0.014349900186061859,0.003922505769878626,0.017815200611948967,0.04318978264927864,0.03692921996116638,0.04742247238755226,0.07309653609991074,0.04782014340162277,0.04466460645198822,0.0026935948990285397,0.014587982557713985,0.009150979109108448,0.013452569954097271,0.007939337752759457,0.00789379421621561,0.03555003181099892,0.004067600704729557,0.0012587780365720391,0.060875505208969116,0.0343334786593914,0.12048875540494919,0.03752496838569641,0.04895644262433052,0.0342070497572422,0.007740878500044346,0.008261428214609623,0.02386772632598877,0.007666902616620064,0.0032046809792518616,0.0009097362053580582,0.005114125553518534,0.016027646139264107
unknown,171.0,172.0,0.04495687410235405,0.039401162415742874,0.03789838030934334,0.03566976636648178,0.04865627735853195,0.08760593086481094,0.04099978879094124,0.0689854770898819,0.2870767414569855,0.2859673798084259,0.10658622533082962,0.20445258915424347,0.08438314497470856,0.07867521792650223,0.12554572522640228,0.10379917919635773,0.05719901621341705,0.18571902811527252,0.021020574495196342,0.140855073928833,0.15415865182876587,0.17791032791137695,0.03432450816035271,0.0457996241748333,0.06796557456254959,0.025340264663100243,0.028231896460056305,0.03619728609919548,0.02999681979417801,0.020813198760151863,0.08418957144021988,0.03160940110683441,0.06701267510652542,0.033065151423215866,0.05275655537843704,0.01382142212241888,0.11932655423879623,0.17247606813907623,0.14133299887180328,0.051978111267089844,0.33225470781326294,0.24834582209587097,0.028549980372190475,0.007113119587302208,0.017520511522889137,0.034668754786252975,0.3444676399230957,0.016369372606277466,0.0038952401373535395,0.0013553533935919404,0.01835915446281433,0.014825462363660336,0.04442339390516281,0.008957217447459698,0.12382131069898605,0.04998505860567093,0.06300211697816849,0.009435615502297878,0.004083483945578337,0.0013227376621216536,0.014388431794941425,0.3056442141532898,0.08987803012132645,0.010977258905768394,0.0012103997869417071,0.001405034796334803,0.001136744162067771,0.0012746391585096717,0.20975908637046814,0.01200118288397789,0.03776094689965248,0.019354593008756638,0.0016982632223516703,0.01657736673951149,0.025445330888032913,0.08709265291690826,0.060447849333286285,0.0015993107808753848,0.02444584108889103,0.006157462485134602,0.05435793846845627,0.005790608935058117,0.019685128703713417,0.0011071135522797704,0.002713517053052783,0.058848507702350616,0.013992922380566597,0.019179170951247215,0.006942477077245712,0.005196362733840942,0.2319275289773941,0.05507386848330498,0.002024176763370633,0.12830379605293274,0.2327299267053604,0.013170176185667515,0.03340955823659897,0.015231744386255741,0.018395375460386276,0.001906492398120463,0.0029728272929787636,0.007226794492453337,0.013490165583789349,0.005231666844338179,0.0285422895103693,0.03128228709101677,0.04150409623980522,0.06587987393140793,0.009622943587601185,0.014462861232459545,0.005638968199491501,0.005105533171445131,0.0023692487739026546,0.005199182312935591,0.002159338677302003
unknown,206.0,207.0,0.05306877940893173,0.03827563673257828,0.032994627952575684,0.07557392865419388,0.03364783897995949,0.07875784486532211,0.10074850916862488,0.08473647385835648,0.14680512249469757,0.1576652079820633,0.06884181499481201,0.08791977167129517,0.12063311785459518,0.09125860780477524,0.07707089185714722,0.04255491867661476,0.03428265452384949,0.13982392847537994,0.051937006413936615,0.1245567575097084,0.15618938207626343,0.10345835983753204,0.05117221549153328,0.04604965075850487,0.0384969599545002,0.02678685076534748,0.07055094838142395,0.09227023273706436,0.04012563079595566,0.06017734482884407,0.13598157465457916,0.07889970391988754,0.05024344474077225,0.034756213426589966,0.06218268349766731,0.034459859132766724,0.14919184148311615,0.14103153347969055,0.0767630785703659,0.042810771614313126,0.19352325797080994,0.10723228752613068,0.032748959958553314,0.057684555649757385,0.13228921592235565,0.04602769389748573,0.15344464778900146,0.03508995473384857,0.01028518844395876,0.011488435789942741,0.047238919883966446,0.03648681193590164,0.14430680871009827,0.030833764001727104,0.03839913755655289,0.019057638943195343,0.05859684944152832,0.007743714842945337,0.03402005136013031,0.0065708765760064125,0.04301014542579651,0.0809592455625534,0.039121344685554504,0.004787596873939037,0.008987782523036003,0.012899761088192463,0.012427124194800854,0.02563188411295414,0.11727412045001984,0.018247079104185104,0.030585581436753273,0.030372682958841324,0.02873268723487854,0.015325555577874184,0.04780231788754463,0.0866013690829277,0.01784750446677208,0.03281962871551514,0.0924142599105835,0.013452875427901745,0.043682582676410675,0.015265553258359432,0.010567591525614262,0.010534853674471378,0.01798153482377529,0.018667342141270638,0.043232791125774384,0.06354940682649612,0.01981334760785103,0.02269548363983631,0.08287453651428223,0.0742911770939827,0.01053471490740776,0.0302521213889122,0.03421645611524582,0.0434717983007431,0.051942016929388046,0.04249478131532669,0.06283442676067352,0.004991150926798582,0.008030523546040058,0.009042874909937382,0.026868514716625214,0.00883865263313055,0.035289447754621506,0.04445034638047218,0.0296787079423666,0.010523706674575806,0.007291330024600029,0.038411859422922134,0.01320836041122675,0.007185710594058037,0.004066176246851683,0.008087143301963806,0.023037055507302284
unknown,427.0,428.0,0.0158309955149889,0.0067351097241044044,0.008873112499713898,0.08426924794912338,0.08032535761594772,0.10982783883810043,0.06873861700296402,0.14764174818992615,0.14933142066001892,0.13479427993297577,0.056173164397478104,0.06193999946117401,0.18831881880760193,0.22943611443042755,0.03090576082468033,0.018141433596611023,0.07360631227493286,0.16003532707691193,0.11495476216077805,0.14247936010360718,0.25770604610443115,0.02519717812538147,0.060387685894966125,0.02506382018327713,0.01661640591919422,0.050703320652246475,0.04629112407565117,0.09226733446121216,0.03352712467312813,0.058805350214242935,0.07386578619480133,0.06321714073419571,0.014457388781011105,0.021915124729275703,0.07219552248716354,0.061431530863046646,0.10207493603229523,0.07493814080953598,0.016418660059571266,0.02979026921093464,0.05405016243457794,0.03156547248363495,0.053341228514909744,0.06779560446739197,0.11663565784692764,0.025770753622055054,0.1145380511879921,0.06589445471763611,0.03135240450501442,0.007510669995099306,0.13564534485340118,0.012864792719483376,0.1105242595076561,0.041059885174036026,0.01690487191081047,0.012534123845398426,0.17301395535469055,0.028384480625391006,0.044680431485176086,0.0023873387835919857,0.04063546657562256,0.00685943802818656,0.042813464999198914,0.0011779891792684793,0.006431383080780506,0.004604936111718416,0.011657295748591423,0.019483232870697975,0.03804263845086098,0.08975562453269958,0.15601663291454315,0.02095380611717701,0.02007744461297989,0.002296480815857649,0.062195319682359695,0.03546910732984543,0.001436365651898086,0.10751920938491821,0.11643124371767044,0.0026207829359918833,0.008249579928815365,0.010568170808255672,0.0009926387574523687,0.06583947688341141,0.014631315134465694,0.020504189655184746,0.13600170612335205,0.07029326260089874,0.011863759718835354,0.10022930800914764,0.03800657019019127,0.09015016257762909,0.002934867050498724,0.019423052668571472,0.010130660608410835,0.02515130490064621,0.0024370441678911448,0.0036561230663210154,0.0657147765159607,0.00629611499607563,0.0006909508956596255,0.03928877040743828,0.014445317909121513,0.025793321430683136,0.05151354894042015,0.08188605308532715,0.0027308822609484196,0.007163594476878643,0.009107797406613827,0.016636734828352928,0.00398798193782568,0.002458918374031782,0.0065202671103179455,0.0013248008908703923,0.032988958060741425
unknown,433.0,434.0,0.04060353338718414,0.039404187351465225,0.02623564749956131,0.0700155571103096,0.03731941431760788,0.0811297744512558,0.07466906309127808,0.08794010430574417,0.13726672530174255,0.12485173344612122,0.04985405132174492,0.07276354730129242,0.08732070028781891,0.10044120997190475,0.056478872895240784,0.039306413382291794,0.041669443249702454,0.15316873788833618,0.04889301210641861,0.15615713596343994,0.12207432836294174,0.09213628619909286,0.05883907526731491,0.06820354610681534,0.03172214329242706,0.023992788046598434,0.0554460734128952,0.10360851883888245,0.036539286375045776,0.06313412636518478,0.07819651812314987,0.06485261768102646,0.050367459654808044,0.04246988147497177,0.09451717138290405,0.028191694989800453,0.10463099926710129,0.11361433565616608,0.05729307979345322,0.07263331115245819,0.14901423454284668,0.1170094758272171,0.04526137560606003,0.05203450471162796,0.05815461650490761,0.04356002062559128,0.14888082444667816,0.029169922694563866,0.012795907445251942,0.006794769782572985,0.03472180292010307,0.05620456859469414,0.10677661746740341,0.01944356970489025,0.0797823965549469,0.012374869547784328,0.03986749053001404,0.006779174320399761,0.017424827441573143,0.008618546649813652,0.027569416910409927,0.09748715907335281,0.038504309952259064,0.005650603212416172,0.00719972001388669,0.01137230359017849,0.013575538992881775,0.01862410455942154,0.11678137630224228,0.012529365718364716,0.024326644837856293,0.04907511547207832,0.04511368274688721,0.02768773026764393,0.06729646027088165,0.11022629588842392,0.028169581666588783,0.03259515017271042,0.04567420482635498,0.008158448152244091,0.03381628915667534,0.01460337731987238,0.017055895179510117,0.010495616123080254,0.012365400791168213,0.013370521366596222,0.017234008759260178,0.0267794169485569,0.019497007131576538,0.01869768276810646,0.04913698136806488,0.06396254897117615,0.004239198751747608,0.022619348019361496,0.043801382184028625,0.03286602348089218,0.046412594616413116,0.02433089166879654,0.027030207216739655,0.0025987024419009686,0.009582850150763988,0.008651441894471645,0.012354986742138863,0.010242403484880924,0.053175751119852066,0.0704643577337265,0.03976643830537796,0.015862349420785904,0.006652279291301966,0.016688361763954163,0.006641604471951723,0.00278479908592999,0.0038544591516256332,0.0061971265822649,0.012913870625197887
unknown,440.0,441.0,0.028135472908616066,0.015507622621953487,0.01963033713400364,0.14795701205730438,0.025615490972995758,0.10445227473974228,0.09074246138334274,0.2928208112716675,0.11240678280591965,0.13720399141311646,0.05214197188615799,0.04311027377843857,0.16502884030342102,0.09826117753982544,0.04921067878603935,0.02953098714351654,0.06509317457675934,0.09088027477264404,0.06981328129768372,0.13500796258449554,0.20841604471206665,0.04748943820595741,0.17476969957351685,0.04851958528161049,0.04346100240945816,0.016390187665820122,0.06319300085306168,0.14314568042755127,0.08082766830921173,0.07908768206834793,0.09654954820871353,0.10901796817779541,0.027500513941049576,0.03857593983411789,0.13051508367061615,0.05482405796647072,0.12682954967021942,0.03625333309173584,0.02436523512005806,0.03749427944421768,0.06842058897018433,0.06104869395494461,0.07016345113515854,0.08700472116470337,0.1494574397802353,0.044727493077516556,0.05275001376867294,0.050154734402894974,0.10168533027172089,0.002132432535290718,0.22735844552516937,0.0223261509090662,0.12155579775571823,0.06320764869451523,0.038637444376945496,0.014553256332874298,0.24587975442409515,0.0066162049770355225,0.1105356365442276,0.0030382212717086077,0.06048229709267616,0.017148016020655632,0.07616288959980011,0.0004308657080400735,0.0018713765311986208,0.006893932353705168,0.004450054373592138,0.010562749579548836,0.00896849948912859,0.061575233936309814,0.149429589509964,0.03166764974594116,0.037809502333402634,0.00300367409363389,0.041775643825531006,0.04202960804104805,0.0026202520821243525,0.09154268354177475,0.08807117491960526,0.012406892143189907,0.00591519707813859,0.0065987249836325645,0.006227299105376005,0.02803042344748974,0.014086049981415272,0.002287668874487281,0.052006516605615616,0.037248481065034866,0.04806629568338394,0.11842048168182373,0.01153560820966959,0.051921211183071136,0.003736835904419422,0.004535509739071131,0.001863755751401186,0.19788634777069092,0.05688200145959854,0.058280687779188156,0.2753008306026459,0.012908230535686016,0.005803318694233894,0.010727014392614365,0.002610562602058053,0.05375927314162254,0.08264730870723724,0.1706334352493286,0.04537535086274147,0.004199234303086996,0.000939838879276067,0.003995636478066444,0.023572921752929688,0.0033283401280641556,0.0005316515453159809,0.0033868749160319567,0.055991511791944504
unknown,446.0,447.0,0.03875486180186272,0.03749489411711693,0.03326127305626869,0.03687644749879837,0.017426734790205956,0.10288290679454803,0.03090554289519787,0.07805579155683517,0.2159465104341507,0.22158940136432648,0.08347072452306747,0.12897181510925293,0.08998831361532211,0.05704320967197418,0.08851031959056854,0.08766303211450577,0.037908442318439484,0.1254897266626358,0.01565081998705864,0.1418861448764801,0.16211514174938202,0.1805906593799591,0.04196947440505028,0.045634638518095016,0.058021239936351776,0.01638522930443287,0.03611264377832413,0.07251236587762833,0.03593076393008232,0.032914869487285614,0.0923776775598526,0.036010321229696274,0.08425096422433853,0.035491373389959335,0.07042495906352997,0.011790298856794834,0.07502104341983795,0.10400918126106262,0.16425615549087524,0.06814179569482803,0.29752063751220703,0.3006272614002228,0.07090523093938828,0.01266359630972147,0.019036484882235527,0.03644087165594101,0.2573508620262146,0.011858399957418442,0.0053793322294950485,0.0018032982479780912,0.016096003353595734,0.03338272124528885,0.07300420850515366,0.010341995395720005,0.12616512179374695,0.012555195949971676,0.04255380854010582,0.0036121311131864786,0.009104117751121521,0.0022581047378480434,0.014418398961424828,0.3635045289993286,0.1043286845088005,0.0023716615978628397,0.0015104582998901606,0.002630505943670869,0.0010539817158132792,0.0029185712337493896,0.1204725131392479,0.011518007144331932,0.015207306481897831,0.029404906556010246,0.005231087561696768,0.023332970216870308,0.04504696652293205,0.184421569108963,0.041260749101638794,0.005000418052077293,0.01729733683168888,0.005254549905657768,0.023056993260979652,0.0030826260335743427,0.011825748719274998,0.0036859747488051653,0.005375927314162254,0.013942332938313484,0.008337055332958698,0.01148978155106306,0.007047259248793125,0.006141269579529762,0.1457296907901764,0.05309562012553215,0.0032075378112494946,0.19675742089748383,0.2248445302248001,0.016394812613725662,0.02956177107989788,0.0231705904006958,0.018804175779223442,0.002899110782891512,0.0020454914774745703,0.003925494849681854,0.004746222402900457,0.0032266906928271055,0.02417077124118805,0.049055494368076324,0.06659001857042313,0.05519310384988785,0.018239013850688934,0.013218918815255165,0.003744532587006688,0.002922255080193281,0.002166805788874626,0.003883505240082741,0.0021668924018740654
unknown,447.0,448.0,0.0424155592918396,0.032341547310352325,0.030808480456471443,0.12243399024009705,0.012297670356929302,0.08899477869272232,0.048375681042671204,0.17554980516433716,0.1597454845905304,0.2101711928844452,0.04571165144443512,0.07537159323692322,0.0679880902171135,0.13563132286071777,0.1094207614660263,0.036665476858615875,0.03580663353204727,0.10025200247764587,0.03409087285399437,0.12409521639347076,0.12528805434703827,0.11266535520553589,0.08775190263986588,0.04936334490776062,0.0426805354654789,0.029566455632448196,0.06349888443946838,0.0635044202208519,0.04363049939274788,0.028254332020878792,0.11706873774528503,0.11013004928827286,0.08416377007961273,0.03141998499631882,0.05121595412492752,0.03888627886772156,0.09366810321807861,0.14377278089523315,0.10523897409439087,0.05488182231783867,0.21613594889640808,0.12560702860355377,0.035367079079151154,0.02043488621711731,0.03836815059185028,0.045471567660570145,0.1894809603691101,0.024380531162023544,0.0182476956397295,0.005895163398236036,0.10046432912349701,0.04561258852481842,0.049760594964027405,0.08022616803646088,0.061405811458826065,0.005578854586929083,0.02556290291249752,0.004801516886800528,0.0077542951330542564,0.0014822750817984343,0.11226382106542587,0.0864935964345932,0.04642264172434807,0.0031543804798275232,0.006377929821610451,0.004406087566167116,0.004514545667916536,0.009640228003263474,0.18361879885196686,0.045324601233005524,0.021806364879012108,0.041442953050136566,0.01321086660027504,0.01262799371033907,0.05611395463347435,0.07722368836402893,0.07296369224786758,0.00532568572089076,0.03693171590566635,0.011968307197093964,0.024795375764369965,0.004876736085861921,0.0040674819611012936,0.010490227490663528,0.01129515003412962,0.005726636853069067,0.09337088465690613,0.10120291262865067,0.052541885524988174,0.11369785666465759,0.10186128318309784,0.08451720327138901,0.004711214452981949,0.04186766594648361,0.05074624717235565,0.01886160671710968,0.025155823677778244,0.021553389728069305,0.06005384773015976,0.0028151744045317173,0.0027332049794495106,0.012875561602413654,0.013485576957464218,0.006491738371551037,0.030734624713659286,0.04570778086781502,0.02711283415555954,0.023947106674313545,0.007362561300396919,0.025322064757347107,0.007168726995587349,0.007069865241646767,0.008966874331235886,0.006546360440552235,0.008527766913175583
