0.763956	0.331032	0.339823	-0.002111	2.452605	0.755295
0.503769	0.535336	0.205168	-0.424644	2.787249	0.711503
0.928431	0.056077	0.323924	-0.269401	1.698225	0.766147
0.752845	0.103929	0.105518	-0.297331	2.155427	0.724107
0.330594	0.192678	0.337994	-0.260503	2.342622	0.659149
0.237455	0.010512	0.346158	-0.051702	2.337847	0.814222
0.609479	0.949925	0.494017	-0.378220	2.794837	0.730789
0.785534	0.104419	0.252114	-0.024681	2.912857	0.825435
0.884741	0.244904	0.180005	-0.139400	2.558292	0.677332
0.960255	0.096998	0.333592	-0.227489	1.985890	0.731202
0.445574	0.104748	0.421449	-0.219539	2.081163	0.749228
0.552683	0.403359	0.196556	-0.540321	3.055282	0.675129
